id;nhogar;miembro;zona;edad;sexo;parentes_3;p5_3;estado;categori;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40_2;t41_cod_2;t47;t48;t51_bis;i1;i4;i6_3;codioph_neto;ioph_neto_2;codlab;inglab_2;codi3_1x;i3_1x_2;codi3_2x;i3_2x_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;nivel_2;tipcob2_2;fexp
1;1;1;1;18;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5000;1;5000;1;5000;5000.0;1;3;4;993
2;1;1;1;19;2;1;5;1;3;0;0;0;1;25.0;2;0;2;9302;8;2;4;1;41313;0;0;3;1;0;2;1;15000;1;15000;2;0;2;0;1;2000;1;17000;1;24000;12000.0;1;3;2;887
2;1;2;1;18;2;6;5;1;3;0;0;0;1;20.0;2;0;2;6800;5;2;4;1;10333;0;0;3;1;0;2;1;5000;1;5000;2;0;2;0;1;2000;1;7000;1;24000;12000.0;1;3;2;887
3;1;1;1;19;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;10000;1;10000;1;10000;10000.0;1;3;1;328
3;2;1;1;19;1;1;5;1;3;0;0;0;1;30.0;2;0;2;8200;5;2;2;2;20333;0;0;1;1;0;2;1;8500;1;8500;2;0;2;0;2;0;1;8500;1;8500;8500.0;2;3;1;328
3;3;1;1;19;1;1;5;1;3;0;0;0;1;51.0;2;0;2;5601;3;2;2;1;53334;0;0;1;1;0;2;1;15000;1;15000;2;0;2;0;2;0;1;15000;1;15000;15000.0;2;2;2;328
4;1;1;2;19;2;1;5;1;3;0;0;0;1;42.0;2;0;2;4501;3;2;3;1;30313;0;0;3;1;0;2;1;10000;1;10000;2;0;2;0;1;3000;1;13000;1;26000;13000.0;2;2;1;1870
4;1;2;2;19;2;4;5;1;3;0;0;0;1;36.0;2;0;2;5601;3;2;3;1;53313;0;0;2;1;0;2;1;10000;1;10000;2;0;2;0;1;3000;1;13000;1;26000;13000.0;2;2;2;1870
5;1;1;2;20;1;1;5;1;3;0;0;0;1;18.0;1;1;1;9601;8;3;2;1;32314;0;0;3;2;1;2;1;3000;2;0;2;0;2;0;2;0;2;0;2;0;0.0;1;3;1;192
6;1;1;2;21;1;1;2;1;3;0;0;0;1;6.0;1;1;1;9503;8;2;5;1;72314;0;0;3;2;3;0;9;9000;1;4500;2;0;2;0;1;2000;1;6500;1;6500;6500.0;1;1;1;209
7;1;1;2;21;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;3000;1;3000;1;3000;3000.0;1;3;5;573
8;1;1;1;21;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;2;0;0.0;1;3;2;994
9;1;1;1;21;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;9;10000;9;10000;9;10000;9;29000;14500.0;1;3;4;1104
9;1;2;1;20;2;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;9;19000;9;19000;9;19000;9;29000;14500.0;1;3;4;1104
9;1;3;1;48;2;5;5;1;3;0;0;0;1;82.0;2;0;2;9700;9;0;0;0;55314;0;0;1;1;0;1;1;11500;1;17000;2;0;2;0;2;0;1;17000;9;29000;14500.0;2;1;1;1104
10;1;1;3;21;1;1;1;1;3;0;0;0;1;35.0;2;0;2;8401;6;1;2;2;10333;0;0;1;1;0;2;1;16000;1;16000;2;0;2;0;2;0;1;16000;1;32000;16000.0;1;3;3;337
10;1;2;3;21;2;2;1;1;3;0;0;0;1;28.0;2;0;2;8401;6;1;2;2;20333;0;0;1;1;0;2;1;16000;1;16000;2;0;2;0;2;0;1;16000;1;32000;16000.0;1;3;3;337
11;1;1;1;21;2;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20500;1;20500;1;20500;20500.0;1;3;1;1108
12;1;1;1;21;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;20000;1;20000;1;20000;20000.0;1;3;4;1107
13;1;1;3;21;1;1;1;1;3;0;0;0;1;40.0;1;1;2;1009;1;2;2;2;80203;0;0;3;1;0;2;1;10000;1;10000;2;0;2;0;2;0;1;10000;1;10000;2500.0;2;1;1;438
13;1;2;3;20;2;2;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;10000;2500.0;2;1;1;438
13;1;3;3;5;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10000;2500.0;1;1;1;438
13;1;4;3;0;1;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10000;2500.0;3;1;1;438
14;1;1;3;21;1;1;1;1;3;1;3;1;0;0.0;0;0;2;5300;4;2;2;1;35323;0;0;3;1;0;2;1;9000;1;9000;2;0;2;0;2;0;1;9000;1;9000;3000.0;2;1;1;233
14;1;2;3;19;2;2;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;1;9000;3000.0;2;1;1;233
14;1;3;3;0;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9000;3000.0;3;1;1;233
15;1;1;2;21;1;1;5;1;3;0;0;0;1;24.0;2;0;2;8200;5;2;2;1;10333;0;0;1;1;0;2;1;11000;1;11000;2;0;2;0;1;1500;1;12500;1;20500;10250.0;2;2;2;215
15;1;2;2;20;2;6;5;2;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;8000;1;8000;1;20500;10250.0;1;3;4;215
16;1;1;3;21;1;1;1;1;2;0;0;0;1;84.0;1;1;1;9609;8;2;2;1;57113;2;0;0;0;0;0;1;20000;1;20000;2;0;2;0;2;0;1;20000;1;30000;10000.0;2;1;1;403
16;1;2;3;22;2;2;1;1;2;0;0;0;1;42.0;2;0;2;9609;8;2;2;1;30133;2;0;0;0;0;0;1;10000;1;10000;2;0;2;0;2;0;1;10000;1;30000;10000.0;2;3;1;403
16;1;3;3;0;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30000;10000.0;3;1;1;403
17;1;1;3;21;2;1;5;1;3;0;0;0;1;2.0;1;1;1;9700;9;0;0;0;55314;0;0;3;1;0;2;1;800;1;800;2;0;2;0;2;0;1;800;1;800;800.0;2;2;1;111
18;1;1;2;21;2;1;1;1;3;0;0;0;1;14.0;1;1;1;9700;9;0;0;0;55314;0;0;3;1;0;2;1;5000;1;5000;2;0;2;0;2;0;1;5000;1;17000;5666.7;2;1;1;235
18;1;2;2;27;1;2;1;1;2;0;0;0;1;36.0;2;0;2;8102;5;2;5;1;58113;2;0;0;0;0;0;1;12000;1;12000;2;0;2;0;2;0;1;12000;1;17000;5666.7;2;2;1;235
18;1;3;2;1;2;3;0;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17000;5666.7;3;1;1;235
19;1;1;2;22;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;9;2000;9;2000;9;2000;2000.0;1;3;2;713
20;1;1;2;22;2;1;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;15000;1;15000;1;27000;13500.0;1;3;1;1797
20;1;2;2;22;1;2;1;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;12000;1;12000;1;27000;13500.0;1;3;1;1797
21;1;1;1;22;2;1;5;1;3;0;0;0;1;30.0;2;0;2;8401;6;1;2;2;11333;0;0;1;2;1;2;1;20000;1;7000;2;0;2;0;1;10000;1;17000;1;17000;17000.0;1;3;4;994
22;1;1;1;22;1;1;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5000;1;5000;1;10000;5000.0;1;3;4;887
22;1;2;1;20;1;4;5;3;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;1;5000;1;5000;1;10000;5000.0;1;3;4;887
